,text_entry,label,tokenized_text
23,net income life insurance doubled eur 68 mn eur 32 mn net income nonlife insurance rose eur 52 mn eur 15 mn corresponding period 2009,1,"[9, 453, 585, 315, 2103, 2, 2643, 5, 2, 1037, 5, 9, 453, 1771, 315, 65, 2, 1480, 5, 2, 126, 5, 53, 20, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,net sales increased eur193 3 eur179 9 pretax profit rose 342 eur43 1 eur1 usd1 4,1,"[9, 7, 57, 1, 110, 1, 167, 228, 10, 65, 4939, 4429, 80, 410, 2237, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,net sales surged 185 eur167 8 teleste said eur20 4 122 sales came acquisitions made 2009,1,"[9, 7, 1363, 2200, 1, 183, 396, 4, 2520, 140, 1908, 7, 826, 885, 178, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,nordea group operating profit increased 2010 18 percent yearonyear 364 billion euros total revenue 3 percent 933 billion euros,1,"[203, 12, 13, 10, 57, 24, 292, 48, 293, 4931, 128, 135, 40, 191, 110, 48, 1, 128, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,operating profit ninemonth period increased eur13 6 net sales increased eur394 7 compared corresponding period 2005,1,"[13, 10, 2010, 20, 57, 1441, 159, 9, 7, 57, 1, 218, 37, 53, 20, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,operating profit ninemonth period increased eur3 1 net sales increased eur61 5 compared corresponding period 2007,1,"[13, 10, 2010, 20, 57, 871, 80, 9, 7, 57, 3140, 109, 37, 53, 20, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,operating profit threemonth period increased eur1 2 revenue increased eur20 2 compared corresponding period 2005,1,"[13, 10, 1505, 20, 57, 410, 133, 191, 57, 2520, 133, 37, 53, 20, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,brazilian unit finnish security solutions provider fsecure signed 1500 new clients last year online news source reseller web quoted division commercial director vladimir brandúo saying,1,"[1883, 76, 6, 283, 55, 220, 815, 99, 1, 18, 659, 88, 17, 423, 123, 1261, 1, 839, 1746, 246, 436, 225, 3486, 1, 1724, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,company net profit rose 114 year 822 million euros 2005 sales 6865 million euros 138 year company said earlier,1,"[3, 9, 10, 65, 1249, 17, 1, 8, 135, 63, 7, 1, 8, 135, 1, 17, 3, 4, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
32,lithuanian beer market made 1441 million liters january rise 08 percent yearearlier figure lithuanian brewers association reporting citing results members,1,"[1408, 509, 28, 178, 1, 8, 612, 156, 714, 789, 48, 2215, 1306, 1408, 4696, 1117, 678, 3242, 325, 426, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,viking line cargo revenue increased 54 eur 2146 mn cargo volume increased 24 70116 cargo units,1,"[793, 132, 618, 191, 57, 1665, 2, 1, 5, 618, 351, 57, 744, 1, 618, 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,fair value property portfolio doubled result kapiteeli acquisition totalled eur 26862 12597 million,1,"[655, 68, 544, 516, 2103, 86, 1, 129, 172, 2, 1, 1, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,10 february 2011 finnish media company sanoma oyj hel saa1v said yesterday 2010 net profit almost tripled eur297 3 eur107 1 2009 announced proposal raised payout,1,"[93, 205, 106, 6, 103, 3, 399, 22, 51, 3782, 4, 461, 24, 9, 10, 831, 2731, 1, 110, 1, 80, 14, 113, 1270, 851, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,helsinki eliiv today reported eps eur1 13 2009 increase eps eur1 12 2008,1,"[33, 1, 35, 163, 206, 410, 373, 14, 64, 206, 410, 168, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,aspo plc stock exchange release february 11 2011 at8 45 esl shipping ltd part aspo group signed new longterm contract rautaruukki corporation marine transport raw materials baltic sea,1,"[368, 102, 72, 118, 164, 205, 263, 106, 1, 440, 2097, 514, 131, 81, 368, 12, 99, 18, 429, 38, 543, 46, 1281, 1140, 577, 427, 210, 1060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,commission income increased 22 eur 44 mn lending volume rose 135,1,"[1229, 453, 57, 291, 2, 1905, 5, 2427, 351, 65, 1039, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,january traffic measured revenue passenger kilometres rpk went 32 capacity measured available seat kilometres ask rose 122,1,"[156, 336, 2412, 191, 856, 2438, 3789, 570, 1037, 182, 2412, 234, 2311, 2438, 4777, 65, 1908, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,januaryseptember 2010 fiskars net profit went 14 yearonyear eur 654 million net sales eur 5253 million eur 4877 million,1,"[811, 24, 303, 9, 10, 570, 321, 293, 2, 4880, 8, 9, 7, 2, 1, 8, 2, 1, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,net income life insurance rose eur 165 mn eur 140 mn net income nonlife insurance eur 226 mn eur 152 mn 2009,1,"[9, 453, 585, 315, 65, 2, 2203, 5, 2, 1483, 5, 9, 453, 1771, 315, 2, 3389, 5, 2, 1, 5, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,nyrstar also agreed supply talvivaara 150000 tonnes sulphuric acid per annum use talvivaara leaching process period supply zinc concentrate,1,"[4008, 26, 262, 162, 632, 1, 445, 3640, 4846, 45, 3327, 145, 632, 1, 222, 20, 162, 1488, 2128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
43,sales department store division hobby hall increased 7 sales clothing store subsidiary seppala decreased 4,1,"[7, 779, 397, 246, 2065, 1599, 57, 218, 7, 739, 397, 169, 1958, 95, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,sales risen export markets,1,"[7, 3800, 1213, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,sales increased due growing market rates increased operations,1,"[7, 57, 245, 653, 28, 905, 57, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,agreement strengthens longterm partnership nokia siemens networks,1,"[60, 1944, 429, 978, 39, 635, 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,agreement signed biohit healthcare ltd ukbased subsidiary biohit oyj finnish public company develops manufactures markets liquid handling products diagnostic test systems,1,"[60, 99, 784, 1596, 131, 1, 169, 784, 22, 6, 489, 3, 1450, 862, 114, 989, 288, 43, 2110, 1144, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48,company also estimates already carried investments lead increase net sales 2010 2009 reached eur 1417 million,1,"[3, 26, 589, 261, 661, 385, 731, 64, 9, 7, 24, 14, 972, 2, 1, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,company order book stood 15 bln euro 22 bln september 30 2007 242 pct year international orders amounting 365 mln euro 5343 mln,1,"[3, 71, 1116, 847, 126, 1468, 32, 291, 1468, 130, 142, 21, 4972, 67, 17, 204, 223, 4806, 3376, 15, 32, 1, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
50,company said paper demand increased main markets including publication papers increased average paper prices 4 percent compared last year,1,"[3, 4, 87, 413, 57, 428, 114, 116, 2352, 908, 57, 1237, 87, 275, 140, 48, 37, 88, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
51,world second largest stainless steel maker said net profit threemonth period dec 31 surged euro603 million us 781 million euro3 33 us 431 per share euro172 million euro0 94 per share previous year,1,"[161, 91, 170, 848, 152, 97, 4, 9, 10, 1505, 20, 821, 372, 1363, 1, 8, 69, 1, 8, 1, 595, 69, 1, 45, 25, 1, 8, 1, 1659, 45, 25, 400, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
52,within framework partnership nokia siemens networks signed initial framework purchase agreement sitronics subsidiary jsc mikron largest manufacturer exporter microelectronic components russia,1,"[569, 1831, 978, 39, 635, 230, 99, 1418, 1831, 354, 60, 1, 169, 4194, 1, 170, 190, 1, 1, 879, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
53,seppala revenue increased 02 eur10 1 finland revenue went 24 eur6 8 sales abroad rose 62 eur3 3 sales increased baltic countries well russia ukraine,1,"[1958, 191, 57, 1341, 1617, 80, 11, 191, 570, 744, 1616, 183, 7, 1333, 65, 1902, 871, 110, 7, 57, 210, 138, 62, 85, 1351, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
54,shares standard chartered stan rose 12 ftse 100 royal bank scotland rbs shares rose 2 barclays shares barc bcs 17,1,"[29, 1152, 2144, 1, 65, 168, 1428, 307, 1967, 47, 1, 1, 29, 65, 133, 2162, 29, 4749, 4741, 320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
55,shares nokia corp rose thursday cell phone maker said thirdquarter earnings almost doubled share global handset market increased,1,"[29, 39, 227, 65, 573, 2148, 229, 97, 4, 1933, 181, 831, 2103, 25, 117, 557, 28, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
56,financial report published friday seb said net profit soared sek6 745 bn 2010 yearearlier sek1 114 bn proposed 50 dividend increase sek1 50 per share,1,"[42, 136, 466, 316, 2808, 4, 9, 10, 1, 1, 4873, 478, 24, 2215, 3753, 1249, 478, 1068, 371, 344, 64, 3753, 371, 45, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
57,sales department store division increased 15 sales clothing store subsidiary seppala increased 8 meanwhile sales hobby hall decreased 12,1,"[7, 779, 397, 246, 57, 126, 7, 739, 397, 169, 1958, 57, 183, 1783, 7, 2065, 1599, 95, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
58,request finnish media company alma media newspapers research manager jari kaivooja finland futures research centre turku school economics drawn future scenario finland national economy using model developed university denver,0,"[2838, 6, 103, 3, 319, 103, 1561, 381, 468, 4206, 1, 11, 1, 381, 1463, 1253, 3763, 1, 1, 386, 1, 11, 725, 1845, 443, 913, 226, 1499, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
59,sweden gallerix accumulated sek denominated sales 1 eur denominated sales 11,0,"[200, 3090, 1, 803, 4540, 7, 80, 2, 4540, 7, 263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
60,company supports global customers developing new technologies offers fast route product development applications volume production,0,"[3, 1148, 117, 66, 565, 18, 462, 550, 2505, 968, 150, 78, 369, 351, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
61,investment place atria plans expand moscow market,0,"[61, 359, 535, 240, 431, 765, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
62,new agreement continuation theagreement signed earlier year lemminkainen group whereby cramo acquired entire construction machine fleet oflemminkainen talo oy ita ja pohjois suomo signed asimilar agreement said tatu hauhio managing director ofcramo finland,0,"[18, 60, 2567, 1, 99, 90, 17, 769, 12, 1492, 474, 272, 616, 58, 729, 1209, 1, 3611, 70, 1, 1, 1, 1, 99, 4778, 60, 4, 1, 1, 494, 225, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
63,first contract envisaged construction three ferryboats option two units confirmed total value 500 mln euro 6458 mln,1,"[30, 38, 3152, 58, 265, 1, 241, 84, 198, 1454, 40, 68, 1481, 15, 32, 1, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
64,june sold 30 percent stake nordstjernan investment group taken option acquire eqt remaining shares,0,"[277, 378, 142, 48, 149, 1770, 61, 12, 960, 241, 511, 2526, 755, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65,kesko corporation stock exchange release 28022008 0930 1 1 kesko corporation aspo plc today signed agreement aspo acquires share capital kaukotelko ltd subsidiary wholly owned kesko,1,"[521, 46, 72, 118, 164, 1, 1, 80, 80, 521, 46, 368, 102, 35, 99, 60, 368, 2631, 25, 59, 2040, 131, 169, 2225, 645, 521, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
66,sponda plc stock exchange release 5 december 2006 1545 eur 15 billion syndicated credit facility sponda sponda signed agreement oneyear syndicated credit facility total eur 15 billion,1,"[753, 102, 72, 118, 164, 109, 346, 31, 1, 2, 126, 128, 1509, 318, 193, 753, 753, 99, 60, 3996, 1509, 318, 193, 40, 2, 126, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
67,stock exchange announcement 20 july 2006 1 1 basware share subscriptions warrants increase share capital total 119 850 shares subscribed basware warrant program,0,"[72, 118, 665, 111, 328, 31, 80, 80, 209, 25, 1056, 3472, 64, 25, 59, 40, 2679, 1, 29, 633, 209, 3473, 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
68,contract covers hdo platform ac800 cxe880 optical fttb nodes designed increase forward return path capacity transmission networks,1,"[38, 533, 1, 579, 1, 1, 3990, 1, 1, 876, 64, 869, 717, 1, 182, 2253, 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
69,new plant planned electricity generation capacity 350 megawatts mw heat generation capacity,0,"[18, 54, 607, 775, 923, 182, 4937, 1, 1179, 1297, 923, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,omx helsinki 25 index 092 pct 251867 helsinki cap portfolio index 091 pct higher 471119,1,"[74, 33, 212, 497, 1, 67, 1, 33, 1022, 516, 497, 1, 67, 454, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
71,sales growth cars considerably influence tires market,0,"[7, 127, 1642, 1321, 1, 1358, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
